dms_orig,dms_dest,sctg2_t,mode_t,tht_22,o1_t,o2_t,d1_t,d2_t,,,
061-Los Angeles CA,042-Tucson AZ,08-Alcoholic beverages,1-Truck,25.2942,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,09-Tobacco prods.,1-Truck,0.0013,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,10-Building stone,1-Truck,0.0136,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,11-Natural sands,1-Truck,17.9911,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,12-Gravel,1-Truck,0.1537,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,13-Nonmetallic minerals,1-Truck,4.7497,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,14-Metallic ores,1-Truck,0,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,15-Coal,1-Truck,0,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,17-Gasoline,1-Truck,0,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,18-Fuel oils,1-Truck,0.0595,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,19-Natural gas and other fossil products,1-Truck,0.6746,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,20-Basic chemicals,1-Truck,15.8117,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,21-Pharmaceuticals,1-Truck,3.8237,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,22-Fertilizers,1-Truck,2.4213,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,23-Chemical prods.,1-Truck,18.5208,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,24-Plastics/rubber,1-Truck,85.0732,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,25-Logs,1-Truck,0.1086,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,26-Wood prods.,1-Truck,58.5095,61,Los Angeles CA,42,Tucson AZ,,,
061-Los Angeles CA,042-Tucson AZ,27-Newsprint/paper,1-Truck,8.6644,61,Los Angeles CA,42,Tucson AZ,,,
